	translatome	tran_name	tran_annotation	tran_category	proteome	prot_name	prot_annotation	prot_category	correlation
5187	Q14978				Q03135	CAV1			-0.302545851689647
5188	Q8N6R0				P0DTC2		Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	-0.30271573183001
5189	O75494	SRSF10	Serine/arginine-rich splicing factor 10;SRSF10;ortholog	RNA splicing factor(PC00148)	O15551	CLDN3	Claudin-3;CLDN3;ortholog	tight junction(PC00214)	-0.302744427028463
5190	Q9Y2W1	THRAP3	Thyroid hormone receptor-associated protein 3;THRAP3;ortholog	nucleic acid binding protein(PC00171)	P31948	STIP1	Stress-induced-phosphoprotein 1;STIP1;ortholog		-0.302800514078675
5191	P27635	RPL10	60S ribosomal protein L10;RPL10;ortholog	ribosomal protein(PC00202)	Q13362	PPP2R5C	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform;PPP2R5C;ortholog	protein phosphatase(PC00195)	-0.30285243141122803
5192	Q96A33				Q14980	NUMA1	Nuclear mitotic apparatus protein 1;NUMA1;ortholog	microtubule or microtubule-binding cytoskeletal protein(PC00157)	-0.30322045705066303
5193	P62273	RPS29	40S ribosomal protein S29;RPS29;ortholog		Q9BPZ3				-0.303333293905962
5194	P68104	EEF1A1	Elongation factor 1-alpha 1;EEF1A1;ortholog	translation factor(PC00223)	Q9UPN6				-0.303355892569552
5195	Q9UHR5	SAP30BP	SAP30-binding protein;SAP30BP;ortholog		Q96K21				-0.303369878123972
5196	Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U;HNRNPU;ortholog		O43747	AP1G1	AP-1 complex subunit gamma-1;AP1G1;ortholog	membrane traffic protein(PC00150)	-0.30357559175246196
5197	P05787	KRT8	Keratin		O75116	ROCK2	Rho-associated protein kinase 2;ROCK2;ortholog	non-receptor serine/threonine protein kinase(PC00167)	-0.30398343557029905
5198	O75368				Q6NXT1				-0.304006297783162
5199	Q9Y2R9	MRPS7	28S ribosomal protein S7	ribosomal protein(PC00202)	Q49A26				-0.30417368629966496
5200	P06748	NPM1	Nucleophosmin;NPM1;ortholog	chaperone(PC00072)	Q9NPE3	NOP10	H/ACA ribonucleoprotein complex subunit 3;NOP10;ortholog	RNA binding protein(PC00031)	-0.304278318968146
5201	Q9Y2B0				Q9H4B0				-0.30452887187884903
5202	O95573	ACSL3	Long-chain-fatty-acid--CoA ligase 3;ACSL3;ortholog	ligase(PC00142)	Q9NPE3	NOP10	H/ACA ribonucleoprotein complex subunit 3;NOP10;ortholog	RNA binding protein(PC00031)	-0.304657695642902
5203	P19338	NCL	Nucleolin;NCL;ortholog		O15162				-0.304869562752742
5204	P08238	HSP90AB1	Heat shock protein HSP 90-beta;HSP90AB1;ortholog	Hsp90 family chaperone(PC00028)	Q03135	CAV1			-0.304926586120925
5205	Q9NQG5	RPRD1B	Regulation of nuclear pre-mRNA domain-containing protein 1B;RPRD1B;ortholog	kinase inhibitor(PC00139)	Q9Y224	C14orf166	RNA transcription		-0.30525188661168395
5206	Q14166	TTLL12	Tubulin--tyrosine ligase-like protein 12;TTLL12;ortholog		O43795				-0.305261567718816
5207	P05388	RPLP0			Q96K21				-0.305349363514258
5208	Q8NC51				O43795				-0.305356201809245
5209	P05787	KRT8	Keratin		P0DTD2		Protein 9b (Accessory protein 9b) (ORF-9b)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	-0.305382424336464
5210	P32004	L1CAM	Neural cell adhesion molecule L1;L1CAM;ortholog		P62249	RPS16	40S ribosomal protein S16;RPS16;ortholog		-0.30573535642387395
5211	P32004	L1CAM	Neural cell adhesion molecule L1;L1CAM;ortholog		Q6P2Q9	PRPF8	Pre-mRNA-processing-splicing factor 8;PRPF8;ortholog	RNA splicing factor(PC00148)	-0.305852096085525
5212	O60313	OPA1	Dynamin-like 120 kDa protein	membrane traffic protein(PC00150)	P24666				-0.306239885513703
5213	Q8NHP8				P09496	CLTA	Clathrin light chain A;CLTA;ortholog	vesicle coat protein(PC00235)	-0.306344025343669
5214	A6NHR9				Q9H1I8	ASCC2	Activating signal cointegrator 1 complex subunit 2;ASCC2;ortholog		-0.306675458354426
5215	P06748	NPM1	Nucleophosmin;NPM1;ortholog	chaperone(PC00072)	Q2TAA5	ALG11	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1		-0.307383462636705
5216	P08238	HSP90AB1	Heat shock protein HSP 90-beta;HSP90AB1;ortholog	Hsp90 family chaperone(PC00028)	Q16719	KYNU	Kynureninase;KYNU;ortholog	hydrolase(PC00121)	-0.307500584921607
5217	P47756	CAPZB	F-actin-capping protein subunit beta;CAPZB;ortholog	non-motor actin binding protein(PC00165)	P30046				-0.30775983854754196
5218	Q5T6V5				Q49A26				-0.307941918085677
5219	O75438	NDUFB1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1;NDUFB1;ortholog	dehydrogenase(PC00092)	P24666				-0.308084615301474
5220	P05783	KRT18	Keratin		P31948	STIP1	Stress-induced-phosphoprotein 1;STIP1;ortholog		-0.308088553389531
5221	O75368				Q15465	SHH	Sonic hedgehog protein;SHH;ortholog		-0.308153633010885
5222	P10412	HIST1H1E	Histone H1.4;HIST1H1E;ortholog	histone(PC00118)	P0DTC2		Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	-0.30826936573850605
5223	P05787	KRT8	Keratin		P0DTC6		Non-structural protein 6 (ns6) (Accessory protein 6) (Protein X3)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	-0.30831336680548
5224	P32004	L1CAM	Neural cell adhesion molecule L1;L1CAM;ortholog		Q14739	LBR	Delta(14)-sterol reductase;LBR;ortholog	reductase(PC00198)	-0.308794481815719
5225	P35754	GLRX	Glutaredoxin-1;GLRX;ortholog		P0DTC2		Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	-0.30882860094881204
5226	P39023	RPL3	60S ribosomal protein L3;RPL3;ortholog	ribosomal protein(PC00202)	P48507	GCLM	Glutamate--cysteine ligase regulatory subunit;GCLM;ortholog	ligase(PC00142)	-0.30892561121084305
5227	Q9BUL9	RPP25	Ribonuclease P protein subunit p25;RPP25;ortholog	endoribonuclease(PC00094)	Q9BPZ3				-0.308949388988175
5228	Q86Y07				Q2M2H8				-0.308957708643982
5229	Q9Y2B0				O15551	CLDN3	Claudin-3;CLDN3;ortholog	tight junction(PC00214)	-0.309073308555136
5230	P11216	PYGB	Glycogen phosphorylase	glycosyltransferase(PC00111)	Q96K21				-0.30907423903305997
5231	P05787	KRT8	Keratin		P0DTC1		Replicase polyprotein 1a (pp1a) (ORF1a polyprotein) [Cleaved into: Non-structural protein 1 (nsp1) (Leader protein); Non-structural protein 2 (nsp2) (p65 homolog); Non-structural protein 3 (nsp3) (EC 3.4.19.12) (EC 3.4.22.-) (PL2-PRO) (Papain-like proteinase) (PL-PRO) (SARS coronavirus main proteinase); Non-structural protein 4 (nsp4); 3C-like proteinase (3CL-PRO) (3CLp) (EC 3.4.22.69) (nsp5); Non-structural protein 6 (nsp6); Non-structural protein 7 (nsp7); Non-structural protein 8 (nsp8); Non-structural protein 9 (nsp9); Non-structural protein 10 (nsp10) (Growth factor-like peptide) (GFL); Non-structural protein 11 (nsp11)]	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	-0.309244363757068
5232	Q03701				P09496	CLTA	Clathrin light chain A;CLTA;ortholog	vesicle coat protein(PC00235)	-0.30929430938665997
5233	Q9Y281				O14777	NDC80	Kinetochore protein NDC80 homolog;NDC80;ortholog	transcription cofactor(PC00217)	-0.30930224410281504
5234	Q07021	C1QBP	Complement component 1 Q subcomponent-binding protein		P11388	TOP2A			-0.309656297545986
5235	P11216	PYGB	Glycogen phosphorylase	glycosyltransferase(PC00111)	O43747	AP1G1	AP-1 complex subunit gamma-1;AP1G1;ortholog	membrane traffic protein(PC00150)	-0.31039906523911304
5236	P62316	SNRPD2	Small nuclear ribonucleoprotein Sm D2;SNRPD2;ortholog	RNA processing factor(PC00147)	P35249	RFC4	Replication factor C subunit 4;RFC4;ortholog	DNA-directed DNA polymerase(PC00018)	-0.31071932698619104
5237	Q8N6R0				P48730_P49674				-0.31115716479500505
5238	Q13907	IDI1			O60292				-0.311337711950115
5239	Q9Y281				Q2M2H8				-0.31169731116932603
5240	Q14527	HLTF	Helicase-like transcription factor;HLTF;ortholog		O75717				-0.31174966920281105
5241	P05787	KRT8	Keratin		O75127				-0.31186189352278804
5242	P62316	SNRPD2	Small nuclear ribonucleoprotein Sm D2;SNRPD2;ortholog	RNA processing factor(PC00147)	Q9UPN6				-0.31188712976647104
5243	P53602	MVD			P14174	MIF			-0.31241726448976503
5244	P53602	MVD			Q9H190				-0.312425943241786
5245	O75494	SRSF10	Serine/arginine-rich splicing factor 10;SRSF10;ortholog	RNA splicing factor(PC00148)	Q9H190				-0.312444618282477
5246	Q86TU7	SETD3	Actin-histidine N-methyltransferase;SETD3;ortholog		Q14517				-0.312567736174203
5247	P39023	RPL3	60S ribosomal protein L3;RPL3;ortholog	ribosomal protein(PC00202)	Q03135	CAV1			-0.31285335069320697
5248	P20340	RAB6A	Ras-related protein Rab-6A;RAB6A;ortholog		O94956	SLCO2B1	Solute carrier organic anion transporter family member 2B1;SLCO2B1;ortholog	transporter(PC00227)	-0.3140416290147511
5249	Q86Y07				O43663	PRC1	Protein regulator of cytokinesis 1;PRC1;ortholog	non-motor microtubule binding protein(PC00166)	-0.314099637162557
5250	P09211	GSTP1	Glutathione S-transferase P;GSTP1;ortholog		P49959	MRE11A	Double-strand break repair protein MRE11;MRE11;ortholog		-0.31429551637298997
5251	P68104	EEF1A1	Elongation factor 1-alpha 1;EEF1A1;ortholog	translation factor(PC00223)	P51665	PSMD7	26S proteasome non-ATPase regulatory subunit 7;PSMD7;ortholog	translation initiation factor(PC00224)	-0.31430119738843104
5252	O75438	NDUFB1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1;NDUFB1;ortholog	dehydrogenase(PC00092)	Q9H1I8	ASCC2	Activating signal cointegrator 1 complex subunit 2;ASCC2;ortholog		-0.314621891634757
5253	P53602	MVD			P47897_P07814				-0.31492367427956
5254	P05783	KRT18	Keratin		Q03135	CAV1			-0.315006091017746
5255	Q86TU7	SETD3	Actin-histidine N-methyltransferase;SETD3;ortholog		P35869	AHR	Aryl hydrocarbon receptor;AHR;ortholog	basic helix-loop-helix transcription factor(PC00055)	-0.31571478169768397
5256	P28370				P30046				-0.31580200414019105
5257	P00480	OTC	Ornithine carbamoyltransferase		Q9Y224	C14orf166	RNA transcription		-0.3159195596139289
5258	Q9UHR5	SAP30BP	SAP30-binding protein;SAP30BP;ortholog		Q49A26				-0.316030371967745
5259	P68104	EEF1A1	Elongation factor 1-alpha 1;EEF1A1;ortholog	translation factor(PC00223)	Q9H1I8	ASCC2	Activating signal cointegrator 1 complex subunit 2;ASCC2;ortholog		-0.317017561358155
5260	P20340	RAB6A	Ras-related protein Rab-6A;RAB6A;ortholog		Q15465	SHH	Sonic hedgehog protein;SHH;ortholog		-0.317041642071573
5261	Q9NX63	CHCHD3	MICOS complex subunit MIC19;CHCHD3;ortholog		O14818	PSMA7	Proteasome subunit alpha type-7;PSMA7;ortholog		-0.317351106013109
5262	O95573	ACSL3	Long-chain-fatty-acid--CoA ligase 3;ACSL3;ortholog	ligase(PC00142)	Q14166	TTLL12	Tubulin--tyrosine ligase-like protein 12;TTLL12;ortholog		-0.317533707494681
5263	Q14166	TTLL12	Tubulin--tyrosine ligase-like protein 12;TTLL12;ortholog		Q14739	LBR	Delta(14)-sterol reductase;LBR;ortholog	reductase(PC00198)	-0.317583763471568
5264	P28370				Q9Y548				-0.317817453785664
5265	P32004	L1CAM	Neural cell adhesion molecule L1;L1CAM;ortholog		Q8WUX9	CHMP7	Charged multivesicular body protein 7;CHMP7;ortholog	membrane traffic protein(PC00150)	-0.317861560827419
5266	P32004	L1CAM	Neural cell adhesion molecule L1;L1CAM;ortholog		P09496	CLTA	Clathrin light chain A;CLTA;ortholog	vesicle coat protein(PC00235)	-0.318031921930721
5267	Q9NQG5	RPRD1B	Regulation of nuclear pre-mRNA domain-containing protein 1B;RPRD1B;ortholog	kinase inhibitor(PC00139)	Q14739	LBR	Delta(14)-sterol reductase;LBR;ortholog	reductase(PC00198)	-0.31819006582345
5268	Q00341	HDLBP	Vigilin;HDLBP;ortholog	RNA binding protein(PC00031)	Q9NVI1	FANCI	Fanconi anemia group I protein;FANCI;ortholog		-0.318959937354508
5269	P06748	NPM1	Nucleophosmin;NPM1;ortholog	chaperone(PC00072)	P0DTD2		Protein 9b (Accessory protein 9b) (ORF-9b)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	-0.31922533777301504
5270	Q86Y07				Q9NQ84				-0.319306349765014
5271	Q9Y2R9	MRPS7	28S ribosomal protein S7	ribosomal protein(PC00202)	P24666				-0.319389073745118
5272	P05787	KRT8	Keratin		Q2TAA5	ALG11	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1		-0.31987662740668604
5273	Q7Z3J2	C16orf62	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		P30046				-0.320279930807711
5274	Q9BUL9	RPP25	Ribonuclease P protein subunit p25;RPP25;ortholog	endoribonuclease(PC00094)	O60292				-0.32058599041257696
5275	Q9NX63	CHCHD3	MICOS complex subunit MIC19;CHCHD3;ortholog		O60292				-0.320827043922514
5276	P05787	KRT8	Keratin		P08174	CD55	Complement decay-accelerating factor;CD55;ortholog		-0.321124951662283
5277	Q14978				Q9Y224	C14orf166	RNA transcription		-0.321273244492061
5278	P49643	PRIM2	DNA primase large subunit;PRIM2;ortholog	primase(PC00189)	O43795				-0.321464149464469
5279	Q92626	PXDN	Peroxidasin homolog;PXDN;ortholog	peroxidase(PC00180)	P31153	MAT2A	S-adenosylmethionine synthase isoform type-2;MAT2A;ortholog	nucleotidyltransferase(PC00174)	-0.321480242747458
5280	P09211	GSTP1	Glutathione S-transferase P;GSTP1;ortholog		Q2TAA5	ALG11	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1		-0.32199164643529604
5281	P00480	OTC	Ornithine carbamoyltransferase		Q9C0A0				-0.322257340429235
5282	Q9Y281				P30046				-0.322276211722893
5283	Q86TU7	SETD3	Actin-histidine N-methyltransferase;SETD3;ortholog		P02753	RBP4	Retinol-binding protein 4;RBP4;ortholog	transfer/carrier protein(PC00219)	-0.322608339649793
5284	Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U;HNRNPU;ortholog		O60292				-0.32321382772835805
5285	Q00341	HDLBP	Vigilin;HDLBP;ortholog	RNA binding protein(PC00031)	Q9UL33	TRAPPC2L	Trafficking protein particle complex subunit 2-like protein;TRAPPC2L;ortholog	membrane traffic protein(PC00150)	-0.323249875022274
5286	Q14527	HLTF	Helicase-like transcription factor;HLTF;ortholog		Q9UL33	TRAPPC2L	Trafficking protein particle complex subunit 2-like protein;TRAPPC2L;ortholog	membrane traffic protein(PC00150)	-0.323287434242908
5287	P47756	CAPZB	F-actin-capping protein subunit beta;CAPZB;ortholog	non-motor actin binding protein(PC00165)	Q49A26				-0.32339909494050106
5288	P49643	PRIM2	DNA primase large subunit;PRIM2;ortholog	primase(PC00189)	P24666				-0.323700790132282
5289	P62316	SNRPD2	Small nuclear ribonucleoprotein Sm D2;SNRPD2;ortholog	RNA processing factor(PC00147)	P0DTC6		Non-structural protein 6 (ns6) (Accessory protein 6) (Protein X3)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	-0.32388286237432895
5290	Q03701				Q49A26				-0.324260055881105
5291	Q14166	TTLL12	Tubulin--tyrosine ligase-like protein 12;TTLL12;ortholog		P49959	MRE11A	Double-strand break repair protein MRE11;MRE11;ortholog		-0.324525471998245
5292	P32969	RPL9	60S ribosomal protein L9;RPL9P9;ortholog	ribosomal protein(PC00202)	Q14739	LBR	Delta(14)-sterol reductase;LBR;ortholog	reductase(PC00198)	-0.32461678778318603
5293	Q13907	IDI1			O95274	LYPD3	Ly6/PLAUR domain-containing protein 3;LYPD3;ortholog	transmembrane signal receptor(PC00197)	-0.324712016133191
5294	Q9UHR5	SAP30BP	SAP30-binding protein;SAP30BP;ortholog		P19404	NDUFV2	NADH dehydrogenase [ubiquinone] flavoprotein 2		-0.325011739572229
5295	O75368				P09496	CLTA	Clathrin light chain A;CLTA;ortholog	vesicle coat protein(PC00235)	-0.32511853467386
5296	Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U;HNRNPU;ortholog		Q14739	LBR	Delta(14)-sterol reductase;LBR;ortholog	reductase(PC00198)	-0.325194875422325
5297	Q14166	TTLL12	Tubulin--tyrosine ligase-like protein 12;TTLL12;ortholog		P47897_P07814				-0.32539161470342104
5298	Q14166	TTLL12	Tubulin--tyrosine ligase-like protein 12;TTLL12;ortholog		O94925	GLS	Glutaminase kidney isoform	hydrolase(PC00121)	-0.32557653615658
5299	P20340	RAB6A	Ras-related protein Rab-6A;RAB6A;ortholog		Q03169				-0.325813713046772
5300	Q86Y07				O43795				-0.325827183715083
5301	P35754	GLRX	Glutaredoxin-1;GLRX;ortholog		Q9NVI1	FANCI	Fanconi anemia group I protein;FANCI;ortholog		-0.32617534297615397
5302	P19338	NCL	Nucleolin;NCL;ortholog		Q9H1I8	ASCC2	Activating signal cointegrator 1 complex subunit 2;ASCC2;ortholog		-0.32624711991113503
5303	P00480	OTC	Ornithine carbamoyltransferase		Q14517				-0.32635354370221004
5304	P47756	CAPZB	F-actin-capping protein subunit beta;CAPZB;ortholog	non-motor actin binding protein(PC00165)	Q13685	AAMP	Angio-associated migratory cell protein;AAMP;ortholog		-0.326684822467388
5305	P00480	OTC	Ornithine carbamoyltransferase		Q9NPE3	NOP10	H/ACA ribonucleoprotein complex subunit 3;NOP10;ortholog	RNA binding protein(PC00031)	-0.326827579461618
5306	P27635	RPL10	60S ribosomal protein L10;RPL10;ortholog	ribosomal protein(PC00202)	Q9Y224	C14orf166	RNA transcription		-0.32696290172064696
5307	O60313	OPA1	Dynamin-like 120 kDa protein	membrane traffic protein(PC00150)	P02753	RBP4	Retinol-binding protein 4;RBP4;ortholog	transfer/carrier protein(PC00219)	-0.32775013112274
5308	Q9Y2B0				Q7Z3J2	C16orf62	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		-0.327762432982289
5309	Q96EL3	MRPL53	39S ribosomal protein L53		Q9Y224	C14orf166	RNA transcription		-0.328185628259211
5310	Q00839	HNRNPU	Heterogeneous nuclear ribonucleoprotein U;HNRNPU;ortholog		O94956	SLCO2B1	Solute carrier organic anion transporter family member 2B1;SLCO2B1;ortholog	transporter(PC00227)	-0.328378528428018
5311	P00480	OTC	Ornithine carbamoyltransferase		P35869	AHR	Aryl hydrocarbon receptor;AHR;ortholog	basic helix-loop-helix transcription factor(PC00055)	-0.32855654030958303
5312	Q8NC51				P08174	CD55	Complement decay-accelerating factor;CD55;ortholog		-0.328883145984715
5313	P08865	RPSA	40S ribosomal protein SA;RPSA;ortholog	ribosomal protein(PC00202)	P61158	ACTR3	Actin-related protein 3;ACTR3;ortholog	actin and actin related protein(PC00039)	-0.329059603194081
5314	A6NHR9				O14777	NDC80	Kinetochore protein NDC80 homolog;NDC80;ortholog	transcription cofactor(PC00217)	-0.32920916871642997
5315	Q96EL3	MRPL53	39S ribosomal protein L53		Q9BPZ3				-0.32933197261945596
5316	P08238	HSP90AB1	Heat shock protein HSP 90-beta;HSP90AB1;ortholog	Hsp90 family chaperone(PC00028)	P08174	CD55	Complement decay-accelerating factor;CD55;ortholog		-0.329492008639716
5317	Q14978				Q7Z3J2	C16orf62	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		-0.32950657405210904
5318	O75368				Q99519	NEU1	Sialidase-1;NEU1;ortholog	hydrolase(PC00121)	-0.33015809422799497
5319	P10412	HIST1H1E	Histone H1.4;HIST1H1E;ortholog	histone(PC00118)	Q14517				-0.33030690628903103
5320	O75438	NDUFB1	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1;NDUFB1;ortholog	dehydrogenase(PC00092)	Q96QR8				-0.33034341423346003
5321	Q9Y2W1	THRAP3	Thyroid hormone receptor-associated protein 3;THRAP3;ortholog	nucleic acid binding protein(PC00171)	P30046				-0.33035160323894003
5322	Q07021	C1QBP	Complement component 1 Q subcomponent-binding protein		O60292				-0.330366381776948
5323	Q13907	IDI1			P50395	GDI2	Rab GDP dissociation inhibitor beta;GDI2;ortholog	G-protein modulator(PC00022)	-0.330588223230753
5324	Q8NC51				Q03135	CAV1			-0.330999940858115
5325	P08865	RPSA	40S ribosomal protein SA;RPSA;ortholog	ribosomal protein(PC00202)	Q9UPN6				-0.331076899362132
5326	P05783	KRT18	Keratin		Q9Y224	C14orf166	RNA transcription		-0.331094717145138
5327	Q03701				O14777	NDC80	Kinetochore protein NDC80 homolog;NDC80;ortholog	transcription cofactor(PC00217)	-0.331296254150998
5328	Q00341	HDLBP	Vigilin;HDLBP;ortholog	RNA binding protein(PC00031)	O43663	PRC1	Protein regulator of cytokinesis 1;PRC1;ortholog	non-motor microtubule binding protein(PC00166)	-0.33133370771005
5329	Q7Z3J2	C16orf62	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		O94956	SLCO2B1	Solute carrier organic anion transporter family member 2B1;SLCO2B1;ortholog	transporter(PC00227)	-0.332057089743622
5330	P20340	RAB6A	Ras-related protein Rab-6A;RAB6A;ortholog		Q14739	LBR	Delta(14)-sterol reductase;LBR;ortholog	reductase(PC00198)	-0.332427330655101
5331	P47756	CAPZB	F-actin-capping protein subunit beta;CAPZB;ortholog	non-motor actin binding protein(PC00165)	P02753	RBP4	Retinol-binding protein 4;RBP4;ortholog	transfer/carrier protein(PC00219)	-0.33287427029881
5332	P35754	GLRX	Glutaredoxin-1;GLRX;ortholog		Q9BPZ3				-0.332922116889132
5333	P35754	GLRX	Glutaredoxin-1;GLRX;ortholog		P31153	MAT2A	S-adenosylmethionine synthase isoform type-2;MAT2A;ortholog	nucleotidyltransferase(PC00174)	-0.333094500731289
5334	Q14527	HLTF	Helicase-like transcription factor;HLTF;ortholog		Q8WWK9				-0.333230208058218
5335	Q13907	IDI1			P0DTD2		Protein 9b (Accessory protein 9b) (ORF-9b)	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	-0.333438358416279
5336	Q14166	TTLL12	Tubulin--tyrosine ligase-like protein 12;TTLL12;ortholog		P09496	CLTA	Clathrin light chain A;CLTA;ortholog	vesicle coat protein(PC00235)	-0.33346827181034194
5337	P11142	HSPA8	Heat shock cognate 71 kDa protein;HSPA8;ortholog		Q9Y224	C14orf166	RNA transcription		-0.333618103611593
5338	P00480	OTC	Ornithine carbamoyltransferase		Q8WUX9	CHMP7	Charged multivesicular body protein 7;CHMP7;ortholog	membrane traffic protein(PC00150)	-0.333625013981597
5339	P49792	RANBP2	E3 SUMO-protein ligase RanBP2;RANBP2;ortholog	scaffold/adaptor protein(PC00226)	O95274	LYPD3	Ly6/PLAUR domain-containing protein 3;LYPD3;ortholog	transmembrane signal receptor(PC00197)	-0.333697765211057
5340	P32004	L1CAM	Neural cell adhesion molecule L1;L1CAM;ortholog		Q2M2H8				-0.33384684180659
5341	P19338	NCL	Nucleolin;NCL;ortholog		Q7Z3J2	C16orf62	VPS35 endosomal protein sorting factor-like;VPS35L;ortholog		-0.334708601756182
5342	P62316	SNRPD2	Small nuclear ribonucleoprotein Sm D2;SNRPD2;ortholog	RNA processing factor(PC00147)	P0DTC2		Spike glycoprotein (S glycoprotein) (E2) (Peplomer protein) [Cleaved into: Spike protein S1; Spike protein S2; Spike protein S2']	Severe acute respiratory syndrome coronavirus 2 (2019-nCoV) (SARS-CoV-2)	-0.33494932804351196
5343	Q5T6V5				Q2M2H8				-0.335039729601054
5344	Q13907	IDI1			P06748	NPM1	Nucleophosmin;NPM1;ortholog	chaperone(PC00072)	-0.335087673739195
5345	P09211	GSTP1	Glutathione S-transferase P;GSTP1;ortholog		Q9BQP7				-0.335150585290776
5346	P28370				Q16778	HIST2H2BE	Histone H2B type 2-E;HIST2H2BE;ortholog	histone(PC00118)	-0.335202984073479
5347	Q8NC51				P31948	STIP1	Stress-induced-phosphoprotein 1;STIP1;ortholog		-0.335240110345783
5348	P35754	GLRX	Glutaredoxin-1;GLRX;ortholog		Q9NQ84				-0.335419931353422
5349	Q14166	TTLL12	Tubulin--tyrosine ligase-like protein 12;TTLL12;ortholog		Q7Z2T5				-0.335753933159414
5350	Q8NHP8				Q96QR8				-0.33597152215723497
5351	O95573	ACSL3	Long-chain-fatty-acid--CoA ligase 3;ACSL3;ortholog	ligase(PC00142)	O43795				-0.336467671292611
5352	Q9Y2B0				Q2M2H8				-0.33647153368115196
5353	P53602	MVD			P62249	RPS16	40S ribosomal protein S16;RPS16;ortholog		-0.336580186711855
5354	P06748	NPM1	Nucleophosmin;NPM1;ortholog	chaperone(PC00072)	O43795				-0.336715675413519
5355	Q8NC51				P48507	GCLM	Glutamate--cysteine ligase regulatory subunit;GCLM;ortholog	ligase(PC00142)	-0.336901828191178
5356	P49792	RANBP2	E3 SUMO-protein ligase RanBP2;RANBP2;ortholog	scaffold/adaptor protein(PC00226)	Q2TAA5	ALG11	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1		-0.336967855478995
5357	Q96A33				O15551	CLDN3	Claudin-3;CLDN3;ortholog	tight junction(PC00214)	-0.337038554986742
5358	P11216	PYGB	Glycogen phosphorylase	glycosyltransferase(PC00111)	P31948	STIP1	Stress-induced-phosphoprotein 1;STIP1;ortholog		-0.337547324517139
5359	Q9Y2W1	THRAP3	Thyroid hormone receptor-associated protein 3;THRAP3;ortholog	nucleic acid binding protein(PC00171)	P47897_P07814				-0.337739843295072
5360	Q5T6V5				O15551	CLDN3	Claudin-3;CLDN3;ortholog	tight junction(PC00214)	-0.338304212966075
5361	P61962	DCAF7	DDB1- and CUL4-associated factor 7;DCAF7;ortholog		O15551	CLDN3	Claudin-3;CLDN3;ortholog	tight junction(PC00214)	-0.338784431174641
5362	P32004	L1CAM	Neural cell adhesion molecule L1;L1CAM;ortholog		O60292				-0.338904327554844
5363	Q13907	IDI1			Q2TAA5	ALG11	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1		-0.339037402198261
5364	Q9BUL9	RPP25	Ribonuclease P protein subunit p25;RPP25;ortholog	endoribonuclease(PC00094)	Q8WUX9	CHMP7	Charged multivesicular body protein 7;CHMP7;ortholog	membrane traffic protein(PC00150)	-0.339099806108085
5365	Q9NQG5	RPRD1B	Regulation of nuclear pre-mRNA domain-containing protein 1B;RPRD1B;ortholog	kinase inhibitor(PC00139)	Q9BQP7				-0.3392072468217511
5366	Q8N6R0				P06748	NPM1	Nucleophosmin;NPM1;ortholog	chaperone(PC00072)	-0.339391889817079
5367	P11142	HSPA8	Heat shock cognate 71 kDa protein;HSPA8;ortholog		P31948	STIP1	Stress-induced-phosphoprotein 1;STIP1;ortholog		-0.339597317317794
5368	P10412	HIST1H1E	Histone H1.4;HIST1H1E;ortholog	histone(PC00118)	Q2TAA5	ALG11	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1		-0.33974271377843296
